"country","year","sex","age","rate","generation","rating"
"Albania",1988,"female","25-34 years",1.91,"Boomers",14.7895159491412
"Albania",1992,"female","15-24 years",2.39,"Generation X",10.5607452667814
"Albania",1992,"female","75+ years",0,"G.I. Generation",23.8284993949173
"Albania",1992,"male","75+ years",0,"G.I. Generation",23.8284993949173
"Albania",1994,"female","55-74 years",0.57,"Silent",18.4047711390636
"Albania",1995,"male","75+ years",3.98,"G.I. Generation",23.8284993949173
"Albania",1996,"male","75+ years",7.87,"G.I. Generation",23.8284993949173
"Albania",1997,"female","5-14 years",1.66,"Millenials",5.34215896064196
"Albania",1997,"female","55-74 years",0,"Silent",18.4047711390636
"Albania",2000,"female","55-74 years",0,"Silent",18.4047711390636
"Albania",2001,"female","55-74 years",3.16,"Silent",18.4047711390636
"Albania",2003,"female","75+ years",12.22,"Silent",18.4047711390636
"Albania",2003,"female","35-54 years",3.41,"Boomers",14.7895159491412
"Albania",2003,"male","75+ years",3.06,"Silent",18.4047711390636
"Albania",2004,"male","25-34 years",7.85,"Generation X",10.5607452667814
"Albania",2004,"female","15-24 years",6.84,"Millenials",5.34215896064196
"Albania",2004,"male","15-24 years",6.63,"Millenials",5.34215896064196
"Albania",2004,"female","55-74 years",1.47,"Silent",18.4047711390636
"Albania",2006,"female","25-34 years",0,"Generation X",10.5607452667814
"Albania",2006,"female","5-14 years",0,"Millenials",5.34215896064196
"Albania",2006,"male","15-24 years",0,"Millenials",5.34215896064196
"Albania",2008,"male","25-34 years",12.15,"Generation X",10.5607452667814
"Albania",2008,"male","15-24 years",3.84,"Millenials",5.34215896064196
"Albania",2008,"female","55-74 years",3.09,"Silent",18.4047711390636
"Albania",2010,"female","25-34 years",3.27,"Generation X",10.5607452667814
"Albania",2010,"female","75+ years",3.1,"Silent",18.4047711390636
"Albania",2010,"female","5-14 years",0.89,"Generation Z",0.635578544061303
"Antigua and Barbuda",1985,"female","25-34 years",0,"Boomers",14.7895159491412
"Antigua and Barbuda",1986,"female","55-74 years",0,"G.I. Generation",23.8284993949173
"Antigua and Barbuda",1987,"female","35-54 years",0,"Silent",18.4047711390636
"Antigua and Barbuda",1987,"male","5-14 years",0,"Generation X",10.5607452667814
